source,weight,target
", USA TODAY",6.887997099002495e-05,<CONV>
1 minute,5.190406461723196e-05,<CONV>
10 wistv.com,0.00038071428841889997,<CONV>
100.7 MIX-FM,0.00037140079763300004,<CONV>
1010 WCSI,0.00011470281044424898,<CONV>
1011now,0.0005124137410095,<CONV>
1027 Wbow,6.293400204202974e-05,<CONV>
10News.com,0.0008905276072235,<CONV>
10TV,0.0023216173285856,<CONV>
12 On Your Side,0.0004606914335326,<CONV>
12NewsNow,0.0003293117585424,<CONV>
1310 KFKA,0.0013806082963594,<CONV>
13WHAM,0.0005399881204896,<CONV>
15 Minute News,0.0005061013521348,<CONV>
2 News,0.0017589705322679,<CONV>
2 minutes,8.30409682160944e-05,<CONV>
24/7 Business Reporter,0.000245224441713,<CONV>
25 News KXXV,0.0004792241238648,<CONV>
3 minutes,1.6052172391280502e-05,<CONV>
3newsnow.com,0.0003110474216614,<CONV>
4 minutes,1.21173126619783e-05,<CONV>
44News,0.0001623214585778436,<CONV>
5 Star Discovery,3.138727243514404e-05,<CONV>
50 States Today,0.0002048095506017,<CONV>
600 KCOL,0.0002286650551713,<CONV>
7 minutes,1.5066775600781292e-05,<CONV>
860Am The Answer,0.00041164572161030003,<CONV>
88.9 KETR,6.760526266791537e-05,<CONV>
8News Now,0.000800763177485,<CONV>
90.3 KAZU,0.00018296583381848444,<CONV>
91.9 KVCR,0.00031839311406640003,<CONV>
94.3 Jack FM,0.000197078489110264,<CONV>
95 Kqds,1.957454465361334e-06,<CONV>
98.5 The River,0.0007698273300115999,<CONV>
AB Digital Inc,7.267026138114083e-05,<CONV>
ABC 13 Action News,0.0023055694494568003,<CONV>
ABC 13 Toledo,0.0002581123492849,<CONV>
ABC 3340,0.0006377691278391,<CONV>
ABC Action News,0.001238112730433,<CONV>
ABC News,0.0009875780344504716,<CONV>
ABC News 4,0.0010113218571285,<CONV>
ABC News(ABC),6.209320623180276e-05,<CONV>
ABC News.com,0.0001854144209999,<CONV>
ABC15,0.0009002804546835,<CONV>
ABC2 News,0.0006369013793225,<CONV>
ABC25 WPBF.com,0.0005155684283364,<CONV>
ABC7 Eyewitness News,0.0007018198331571,<CONV>
ABIGAIL KESSLER Sun Staff Reporter,3.0133551201562584e-05,<CONV>
ACCESSWIRE,1.0929644321542174e-05,<CONV>
ACS Publications,0.0005963500287606,<CONV>
AFP,0.0005189797085478,<CONV>
AFP - Agence France Presse,0.0003398359570419,<CONV>
AFP News,9.143737009096518e-05,<CONV>
AFmedios,9.276842472878658e-05,<CONV>
AJMC,0.00045568246545360004,<CONV>
AJMC -,0.0001915950312953,<CONV>
AL DÍA News,0.00016806617678341394,<CONV>
AM 1070 The Answer,0.00017975497057703125,<CONV>
AM 560 The Answer,0.0002949604974564,<CONV>
AM 650 WNMT Northern Minnesota Talk,0.00022045549687669998,<CONV>
AM 920 The ANSWER,0.0004429933496786,<CONV>
AM 970 The Answer,0.0006769198245759999,<CONV>
"AMANDA SEITZ, Associated Press",5.760371957843985e-05,<CONV>
AMC,0.0003032976477535,<CONV>
AOL,0.010546058366650901,<CONV>
AOL.com,0.0012008125771316,<CONV>
AP,0.0003444375674343,<CONV>
AP News,0.0057214283761938,<CONV>
ATTPTHD,6.536487385881763e-05,<CONV>
Aaccesswdun,0.0002381973542395,<CONV>
Aadil Brar Newsweek,4.039104220659433e-05,<CONV>
Aamir Beg,1.5066775600781294e-05,<CONV>
Aaron Bolton,3.902899060427379e-05,<CONV>
Aaron Gonsoulin,6.0586563309891495e-05,<CONV>
Aaron Pellish,1.723316927216111e-05,<CONV>
Aaron Specht,6.988567159462426e-06,<CONV>
Abby Mackey,5.224518942099475e-05,<CONV>
Abc 7,0.0004544090218419,<CONV>
Abc11.com,0.0011100234198993001,<CONV>
Abc17HD News.com,0.0007319767062767999,<CONV>
Abc30,0.0006115154082018,<CONV>
Abc4,0.0011181116527819,<CONV>
Abc7,0.0008849907921177,<CONV>
Abc7 Chicago,0.0007388126285737,<CONV>
Abc7amarillo,0.00010135282040302061,<CONV>
Abdel Kareem Hana,1.4335053915413486e-05,<CONV>
Abdul Sattar,1.10703810770583e-06,<CONV>
Abdullah Hasrat,6.0867684673509794e-05,<CONV>
Abi Bautista-Alejandre,4.081927294860422e-05,<CONV>
Abigail Brooks,6.471982451502668e-05,<CONV>
Abigail Murphy,4.4861962966591696e-05,<CONV>
Abigail Quinn,8.022857925656889e-05,<CONV>
Abigail Ruhman,1.5585657640399254e-05,<CONV>
Abilene Public Radio,0.00015312800258280104,<CONV>
Abraham Gutman,2.686049252655872e-05,<CONV>
Achilleas Kouremenos,6.782012106564938e-05,<CONV>
Action News,0.0004541315709625,<CONV>
Action News 5,0.0004384730741807,<CONV>
Action Swift,2.7967841901312403e-05,<CONV>
Ada Pelonia,7.487750527995455e-05,<CONV>
Adam Piore,3.1077405252526375e-05,<CONV>
Adam Schreck,7.659891935914094e-05,<CONV>
Addy Bink,0.0002578019777477,<CONV>
Adeola Adeosun,4.309751639747686e-05,<CONV>
Adeola Adeosun Newsweek,0.0003353497246781,<CONV>
Aditya Pandey,8.455260801674886e-06,<CONV>
Adomonline,5.9371015370289234e-05,<CONV>
Adriana Pérez,3.9847370627909514e-05,<CONV>
Adrianna Rodriguez,2.8636155343926377e-05,<CONV>
Adriel Bettelheim,1.5971012199278216e-05,<CONV>
Advanced Financial Network,0.0058273838122375,<CONV>
Afmedios Redacción,3.5813194373267337e-05,<CONV>
Africa Marketing Industry News,7.891165050970679e-05,<CONV>
Afro News,6.475789884587916e-05,<CONV>
Agence France-Presse,2.595930704779909e-05,<CONV>
Agency Report,4.4260295384356914e-05,<CONV>
Agnès Pedrero,0.0005750173221479,<CONV>
Ahjané Forbes,4.869001720959241e-05,<CONV>
Ahmed Aboulenein,5.78624601052504e-05,<CONV>
Aidan Lewis,1.6891407802438666e-05,<CONV>
Aiga Petelo,5.084752281662117e-05,<CONV>
Aika Shane Algas,3.671471260872724e-05,<CONV>
Aila Slisco Newsweek,6.234849067954602e-05,<CONV>
Aimee Cho,3.5770011494516715e-05,<CONV>
Airdrie City View,0.00038191090293,<CONV>
Airdrie Local News,0.0003822505080652,<CONV>
Aisha Mahmoud,5.520109101567893e-05,<CONV>
Aisha Morales,9.386408146192616e-05,<CONV>
Akron News Reporter,0.000196899541577,<CONV>
Akron News-Reporter,0.0001914578972381,<CONV>
Al Jazeera,8.573201249285961e-05,<CONV>
Al.com,0.0004953770097492,<CONV>
AlKhaleej Today,5.031539237874722e-05,<CONV>
Alabama Department of Public Health,1.4657343592620591e-05,<CONV>
Alabama Now,0.0002683121516905,<CONV>
Alabama Public Radio,0.00026370345156279996,<CONV>
Alan Condon,9.239171831512492e-06,<CONV>
Alan Halaly,7.573320413736438e-06,<CONV>
Alana Wise,0.0002891231895788,<CONV>
"Alana Wise, Jeff Gritchen",1.4525765865006371e-05,<CONV>
Alaska's News Source,0.0002837562673799,<CONV>
Albert Lea Tribune,0.0005310796352525,<CONV>
Albert Stumm,6.547155751419976e-05,<CONV>
Albia Newspapers,0.0008536755238055999,<CONV>
Albuquerque Express,0.0012185509213237,<CONV>
Albuquerque News,0.0008588149265872,<CONV>
Aldergrove Star,0.00013390837046987452,<CONV>
Aldgra Fredly,2.557541261984426e-05,<CONV>
Alec Schemmel,3.155538034037358e-05,<CONV>
Alejandra O'Connell-Domenech,0.0003265806914582,<CONV>
Aleks Phillips,3.604528800852084e-05,<CONV>
Alerta Bogotá,4.453116185108437e-05,<CONV>
Alerta Tolima,0.00025555085296894407,<CONV>
Alex Arger,0.0003553855275201,<CONV>
Alex Babenko,8.334712527961023e-05,<CONV>
Alex Brandon,5.19278488124042e-05,<CONV>
Alex Brown,3.029328165494575e-05,<CONV>
Alex Kienlen,2.5396823089379384e-05,<CONV>
Alex Malm,1.9292565689943687e-05,<CONV>
Alex Nitzberg,1.856618724134554e-05,<CONV>
Alex Strauss,4.6603825289839005e-05,<CONV>
Alexa Jurado,6.462566753055093e-05,<CONV>
Alexander  Tin,1.9073211946097952e-05,<CONV>
Alexander City Outlook,9.356549802379324e-05,<CONV>
Alexander Tin,6.712252739489888e-05,<CONV>
Alexandra Banner,9.091217449244008e-05,<CONV>
Alexandra Del Rosario,0.000122399816329,<CONV>
Alexandra Gerlach,0.0001287887306056,<CONV>
Alexandrea Sumuel,1.8123675539257274e-05,<CONV>
Alexis Johnson,8.522501369498152e-05,<CONV>
Alexx Altman-Devilbiss,0.0004919849923707,<CONV>
"Alfons Luna, Wafaa Essalhi",1.405087072328828e-05,<CONV>
"Alia Pharr, Michael Scaturro",3.0197585186950582e-05,<CONV>
