rank_chunk,value,credit_share_chunk,rank_global,credit_share_global,rank_delta,share_delta
999,feel like,0.0,1,0.001907781855626669,-998,0.001907781855626669
999,health system,0.0,2,0.0019011685483971363,-997,0.0019011685483971363
999,bit,0.0,3,0.0018932160661310703,-996,0.0018932160661310703
999,nothing,0.0,4,0.0018877934182227442,-995,0.0018877934182227442
999,road,0.0,5,0.0018867627918391326,-994,0.0018867627918391326
999,ultimately,0.0,6,0.0018859137989292976,-993,0.0018859137989292976
999,many people,0.0,7,0.0018845592677152756,-992,0.0018845592677152756
999,spending,0.0,8,0.0018811584117584574,-991,0.0018811584117584574
999,huge,0.0,9,0.0018798376251722684,-990,0.0018798376251722684
999,tonight,0.0,10,0.0018771168530575181,-989,0.0018771168530575181
999,whatever,0.0,11,0.0018770299583655565,-988,0.0018770299583655565
18,toll,0.1161797843347442,12,0.0018755830008870195,-6,-0.11430420133385719
999,eligible,0.0,13,0.001873101227726069,-986,0.001873101227726069
999,wind,0.0,14,0.0018726383355342387,-985,0.0018726383355342387
999,window,0.0,15,0.0018716601204962987,-984,0.0018716601204962987
999,bank,0.0,16,0.0018708615486756229,-983,0.0018708615486756229
999,rely,0.0,17,0.0018707121183346447,-982,0.0018707121183346447
17,falling,0.128468692570132,18,0.0018706912819981374,1,-0.12659800128813387
999,connected,0.0,19,0.0018700758833556763,-980,0.0018700758833556763
999,leading cause,0.0,20,0.0018692543190696655,-979,0.0018692543190696655
1,illness,0.1772044520972138,999,0.0,998,-0.1772044520972138
2,motor,0.1709183151544298,999,0.0,997,-0.1709183151544298
3,ali,0.1681213152326089,999,0.0,996,-0.1681213152326089
4,taught,0.1617024229397846,999,0.0,995,-0.1617024229397846
5,dad,0.1571156943423105,999,0.0,994,-0.1571156943423105
6,calm,0.1521499358137502,999,0.0,993,-0.1521499358137502
7,tied,0.150415045677549,999,0.0,992,-0.150415045677549
8,affected,0.1472971776663864,999,0.0,991,-0.1472971776663864
9,neither,0.1431808830340925,999,0.0,990,-0.1431808830340925
10,cellular,0.1425704099184171,999,0.0,989,-0.1425704099184171
11,alex,0.1415458215322384,999,0.0,988,-0.1415458215322384
12,matthew,0.1412762452104983,999,0.0,987,-0.1412762452104983
13,homeless,0.1388404749635037,999,0.0,986,-0.1388404749635037
14,early,0.1343193192694174,999,0.0,985,-0.1343193192694174
15,extraordinary,0.1301690910278877,999,0.0,984,-0.1301690910278877
16,replacing,0.1296362831335436,999,0.0,983,-0.1296362831335436
19,roll,0.1143832840614479,999,0.0,980,-0.1143832840614479
20,available,0.1127368511666189,999,0.0,979,-0.1127368511666189
