word,count,doc_freq,weighted_count
health,6160378,886062,4685198707.0
said,2152267,521551,1720518596.0
public,2232363,711260,1703789326.0
disease,1753072,561750,1270324024.0
people,1809795,548926,1200442088.0
year,1672712,585407,1149171169.0
case,1324457,339091,1022647289.0
state,1395775,467106,1022117913.0
vaccine,1341550,239230,957753031.0
new,1408407,533545,912525072.0
also,1284265,574211,888172955.0
one,1249955,532707,790467733.0
community,1053457,338216,747054156.0
study,1025082,231880,741002592.0
child,1029328,286908,729209758.0
risk,1008183,362259,721170514.0
care,1036655,298885,702722923.0
world,947931,416639,672510147.0
time,1006133,456883,644719661.0
country,840326,348758,643560091.0
virus,789748,205891,603487849.0
say,1009218,353754,579105729.0
patient,862601,229705,570865309.0
may,806855,368579,565287058.0
outbreak,708862,204389,565265504.0
research,812957,282922,551573930.0
like,926924,408868,544180021.0
first,805502,403713,544030442.0
service,784179,327434,540316475.0
data,727896,246831,536677576.0
food,777928,205215,517429977.0
including,734168,410604,514923024.0
global,713334,237680,509898723.0
need,761566,387318,499395552.0
day,785555,344627,496801085.0
report,689794,279687,487189165.0
department,618556,283760,483672241.0
news,892332,415749,479138680.0
medical,720967,312496,472845817.0
water,651385,148346,470937025.0
program,686532,255775,459560647.0
human,622606,264612,457843788.0
system,650636,285158,457613024.0
center,647465,324242,456478844.0
according,581327,319591,456098797.0
cdc,588786,184011,455665483.0
organization,635058,359536,455492430.0
two,653932,347618,446570697.0
death,606977,242730,441705842.0
million,643354,299769,437633146.0
could,651360,327182,432410397.0
measles,599885,77155,432161066.0
covid,551806,190028,430781624.0
high,637275,314336,422182419.0
national,607957,300037,421266847.0
official,526718,255071,420901989.0
agency,535970,245876,418899945.0
infection,550853,187029,418327376.0
control,551054,307218,417659054.0
would,620064,285841,417334735.0
life,681020,319443,409647628.0
well,664728,362181,409555627.0
pandemic,495880,189908,406745579.0
use,598419,270206,406167861.0
healthcare,566099,165942,402019180.0
reported,477342,224166,393032354.0
treatment,605421,223390,391177179.0
get,681526,320626,387586609.0
level,514969,231558,387316761.0
work,579361,306284,386830359.0
group,518023,243312,379849027.0
county,526593,141681,378890219.0
help,601516,322917,378180858.0
many,569377,325092,376549657.0
