kind,dimension,value,credit,credit_share,rating,rating_pct
item,source_feed_name,broadcast-tv,0.9256212842498028,0.23235282006799537,5,1.0
item,source_feed_name,regionals-web,0.8635259973837103,0.2167654353980746,5,0.8919130895982137
item,source_feed_name,broadcast-radio,0.4054032781870921,0.10176580482148842,5,0.09447625015482157
item,source_feed_name,consumer,0.40264088194824454,0.1010723780743262,5,0.08966785180719127
item,source_feed_name,web,0.3511272346440859,0.08814123503907259,5,0.0
item,source_feed_name,trade-web,0.3284252644980117,0.08244250395510129,4,1.0
item,source_feed_name,social-blog,0.13921185810835723,0.034945466757064066,4,0.19461973946060812
item,source_feed_name,wires,0.09762484490865586,0.024506143505128353,4,0.017606069209059168
item,source_feed_name,nationals-web,0.09712642867141064,0.024381029249155438,4,0.015484577890505452
item,source_feed_name,web-rss,0.09348853254616141,0.023467831337440206,4,0.0
item,source_feed_name,owned-media,0.0833922247629324,0.020933419450391802,3,1.0
item,source_feed_name,government,0.06334234672021866,0.015900426168458298,3,0.7135137977061862
item,source_feed_name,social-misc,0.053773174427405035,0.013498337748728615,3,0.5767829994727469
item,source_feed_name,moreover_social,0.017712227287732474,0.004446187690385122,3,0.06151982554450972
item,source_feed_name,social-video,0.013406731981150721,0.003365406604971137,3,0.0
item,source_feed_name,social-twitter,0.012631869095765635,0.003170897706300804,2,1.0
item,source_feed_name,twitter,0.009445673793265774,0.0023710873773677803,2,0.5800227638188127
item,source_feed_name,broadcast-podcast,0.008625403694994094,0.0021651801950309485,2,0.47190171784152335
item,source_feed_name,moreover,0.008044428552995142,0.002019341702626068,2,0.3953225030535111
item,source_feed_name,other-print,0.005045278614168036,0.0012664841809258995,2,0.0
item,source_feed_name,other-lexis,0.0021706512664385613,0.0005448847727717674,1,1.0
item,source_feed_name,nationals-print,0.001012010956537468,0.00025403866969391187,1,0.45743510578474944
item,source_feed_name,social-forum,0.00043717399952425406,0.00010974100680084544,1,0.18825203826354878
item,source_feed_name,generic-blogs,0.0003483255522109818,8.743794652859468e-05,1,0.14664633198371987
item,source_feed_name,other-wires,7.032615377200457e-05,1.765352680573284e-05,1,0.01646553910346638
item,source_feed_name,__OTHER__,3.516420810811827e-05,8.827047366354776e-06,1,0.0
item,feed_name,opoint,0.9760638233303,0.4131468693332658,5,1.0
item,feed_name,tveyes,0.9324111382043667,0.39466962453974874,5,0.9388428442354388
item,feed_name,web-rss-scraped,0.26228496000342394,0.1110195947319171,5,0.0
item,feed_name,moreover-social,0.09196554946412805,0.038927043436544316,4,1.0
item,feed_name,web-rss,0.046270233485397605,0.01958519683947171,4,0.34338304648044726
item,feed_name,twitter,0.02237350537541305,0.00947022467273114,4,0.0
