value,kind,dimension,credit,credit_share,rating,rating_pct,color,marker,node_size
", USA TODAY",item,author_name,6.887997099002495e-05,6.887997099002495e-05,4,0.7593688160824104,#1f77b4,o,80.0
.,item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
/	The CoolDown,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
/	The CoolDown,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
/pol/ - Politically Incorrect,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
1 minute,item,author_name,5.190406461723196e-05,5.190406461723196e-05,4,0.4018068953351956,#1f77b4,o,80.0
10 wistv.com,item,publication_name,0.0001901403885419,0.0001901403885419,4,0.3571620118989088,#8c564b,o,80.0
10 wistv.com,item,publisher_name,0.000190573899877,0.000190573899877,4,0.3710052139150221,#e377c2,o,80.0
100 Percent Fedup,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
100 Percent Fedup,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
100.7 MIX-FM,item,publication_name,0.0001860484600423,0.0001860484600423,4,0.3346961605264788,#8c564b,o,80.0
100.7 MIX-FM,item,publisher_name,0.0001853523375907,0.0001853523375907,4,0.3416913729903041,#e377c2,o,80.0
101 WIXX,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
101 WIXX,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
101.9 Jack FM,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
101.9 Jack FM,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
101.9 WDET (radio),item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
101.9 WDET (radio),item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
1010 WCSI,item,publication_name,5.735417940345689e-05,5.7354179403456914e-05,3,0.3048365356153589,#8c564b,o,80.0
1010 WCSI,item,publisher_name,5.7348631040791955e-05,5.734863104079208e-05,3,0.3033098568747989,#e377c2,o,80.0
1011now,item,publication_name,0.0002571207520486,0.0002571207520486,4,0.7249032594663598,#8c564b,o,80.0
