word,count,doc_freq,weighted_count
health,2470042,355013,1878960843.0
said,862078,208995,690784277.0
public,897660,284997,685477276.0
disease,701142,225453,508251585.0
people,724440,220194,480445796.0
year,673252,234611,463529579.0
state,557892,187141,409002663.0
case,524420,135495,406369052.0
vaccine,532301,95453,380662730.0
new,564689,213627,366965728.0
also,514315,229947,355768384.0
one,500136,213385,316397332.0
community,422070,135510,299213035.0
study,407962,92902,295940262.0
child,411012,114724,292215204.0
risk,401444,144708,287260559.0
care,416978,119674,282850685.0
world,379873,166987,270235264.0
time,404083,183058,259188081.0
country,336215,140076,256993806.0
virus,315913,82255,239967591.0
say,404234,141340,231697844.0
patient,345148,91955,227471470.0
may,323107,147833,226770511.0
outbreak,281537,81646,225517533.0
research,325102,113330,220220483.0
service,316862,131846,218957841.0
first,322855,162053,218859573.0
like,371552,163373,218582604.0
data,292144,98874,215937492.0
food,311276,81949,206686885.0
including,293768,164358,205872044.0
global,284806,94831,203803436.0
day,315804,138176,200421679.0
need,305452,155071,200081039.0
report,275926,112041,194521173.0
department,247455,113651,193772068.0
news,356935,166409,192297500.0
medical,289836,125067,190089780.0
water,260615,59664,188299418.0
program,275552,102723,184188868.0
system,260833,114262,184020230.0
human,250439,106304,183798727.0
organization,255196,144124,183582596.0
center,259996,129781,183273267.0
according,232606,127897,182251166.0
cdc,234122,73422,180411083.0
two,261576,138983,178518539.0
death,243571,96986,176523918.0
million,257672,120189,175455741.0
measles,239404,30809,175105298.0
could,260709,131200,172870765.0
covid,220841,76205,172409179.0
national,244204,120490,169548088.0
high,254971,125886,169049697.0
official,210808,102050,168416625.0
agency,215086,98542,167874786.0
would,248479,114393,167148060.0
infection,220142,74663,167133800.0
control,219808,122863,166260457.0
well,266636,144930,164661878.0
use,240430,108282,164044934.0
life,272742,128271,163908622.0
healthcare,228586,66423,162980422.0
pandemic,197921,76209,161586270.0
reported,190483,89546,157683905.0
treatment,242185,89230,156607897.0
work,232922,122594,155709290.0
get,273015,128463,155192111.0
level,205685,92663,154214194.0
county,212338,56945,152704276.0
help,240966,129376,151844160.0
support,231875,118031,151593099.0
many,228241,130348,151010160.0
group,205619,97489,150614299.0
among,189935,99614,148749766.0
information,227541,119332,147940617.0
population,195321,88064,147706861.0
prevention,189139,109469,146278549.0
government,198895,95108,145532289.0
market,230307,40938,144975168.0
across,209321,127498,143987617.0
flu,177457,37998,143673945.0
vaccination,185890,58798,142750875.0
rate,187655,79377,139867014.0
trump,196305,54010,138593662.0
based,198994,99328,137014147.0
com,245512,109908,135771736.0
make,220680,133373,135747450.0
last,196451,115449,135353743.0
drug,211686,67471,134086081.0
week,199929,109996,132857839.0
product,212165,66196,131711721.0
spread,163874,80220,129999219.0
area,188896,99762,129573846.0
know,255817,103189,128791623.0
month,182385,101771,125700772.0
american,193046,90742,124818146.0
bird,150477,24788,124776850.0
number,178645,101084,123314445.0
hospital,184853,69532,122196056.0
access,168933,85878,121302997.0
individual,164163,79712,119400973.0
since,167039,109009,119047148.0
united,158420,95792,117080016.0
city,178028,71170,116284809.0
mpox,135332,17237,116023609.0
company,207358,73941,114490453.0
director,153274,93284,114246924.0
school,164279,71670,112962471.0
