rank_chunk,value,credit_share_chunk
1,illness,0.1772044520972138
2,motor,0.1709183151544298
3,ali,0.1681213152326089
4,taught,0.1617024229397846
5,dad,0.1571156943423105
6,calm,0.1521499358137502
7,tied,0.150415045677549
8,affected,0.1472971776663864
9,neither,0.1431808830340925
10,cellular,0.1425704099184171
11,alex,0.1415458215322384
12,matthew,0.1412762452104983
13,homeless,0.1388404749635037
14,early,0.1343193192694174
15,extraordinary,0.1301690910278877
16,replacing,0.1296362831335436
17,falling,0.128468692570132
18,toll,0.1161797843347442
19,roll,0.1143832840614479
20,available,0.1127368511666189
