rank_global,value,credit_share_global
1,feel like,0.001907781855626669
2,health system,0.0019011685483971363
3,bit,0.0018932160661310703
4,nothing,0.0018877934182227442
5,road,0.0018867627918391326
6,ultimately,0.0018859137989292976
7,many people,0.0018845592677152756
8,spending,0.0018811584117584574
9,huge,0.0018798376251722684
10,tonight,0.0018771168530575181
11,whatever,0.0018770299583655565
12,toll,0.0018755830008870195
13,eligible,0.001873101227726069
14,wind,0.0018726383355342387
15,window,0.0018716601204962987
16,bank,0.0018708615486756229
17,rely,0.0018707121183346447
18,falling,0.0018706912819981374
19,connected,0.0018700758833556763
20,leading cause,0.0018692543190696655
