person_list,cluster,vipr_score,vipr_weight,sentiment_score,circulation_size,mention_count,cluster_label
Donald Trump,1.0,-4895.358650621424,666.0956796212271,-6.724995068060761,2628892.5841388833,5069,Lower Visibility / Negative Tone
Robert Kennedy,1.0,-4985.706184012066,671.5230769230769,-6.567722473604826,2764325.7200603317,3315,Lower Visibility / Negative Tone
Joe Biden,1.0,-5254.352396514161,691.4645969498911,-5.9678649237472765,2958165.9504357297,1836,Lower Visibility / Negative Tone
Tedros Ghebreyesus,1.0,-6398.055454545454,675.6381818181818,-8.231818181818182,2368738.5463636364,1100,Lower Visibility / Negative Tone
Kamala Harris,1.0,-6560.213849287169,735.0773930753564,-6.596741344195519,1290003.482688391,491,Lower Visibility / Negative Tone
Anthony Fauci,1.0,-5973.766917293233,710.1679197994987,-8.786967418546366,3564351.2155388473,399,Lower Visibility / Negative Tone
Elon Musk,1.0,-4483.955489614244,711.3234421364986,-4.142433234421365,3417900.1958456975,337,Lower Visibility / Negative Tone
John,1.0,-6951.84142394822,668.8025889967638,-9.818770226537216,1017708.4045307443,309,Lower Visibility / Negative Tone
Tedros,1.0,-5891.100371747212,645.8252788104089,-9.133828996282528,4693260.327137547,269,Lower Visibility / Negative Tone
Vivek Murthy,1.0,-4576.236641221374,626.6374045801526,-6.152671755725191,3180001.064885496,262,Lower Visibility / Negative Tone
Narendra Modi,1.0,-13059.91923076923,834.876923076923,-8.638461538461538,1486967.196153846,260,Lower Visibility / Negative Tone
Bill Cassidy,1.0,-2364.5644444444442,590.5777777777778,-1.5955555555555556,948862.1511111112,225,Lower Visibility / Negative Tone
Gavin Newsom,1.0,-5462.829493087557,675.7281105990784,-6.447004608294931,524878.8894009216,217,Lower Visibility / Negative Tone
David,1.0,-6108.828431372549,704.8921568627451,-7.397058823529412,2411784.8921568627,204,Lower Visibility / Negative Tone
Benjamin Netanyahu,1.0,-7375.374384236453,654.2660098522167,-7.5911330049261085,1187948.2857142857,203,Lower Visibility / Negative Tone
Jean Kaseya,1.0,-4705.97,684.005,-6.86,860291.8,200,Lower Visibility / Negative Tone
Michael,1.0,-9258.050505050505,750.6363636363636,-12.141414141414142,805717.404040404,198,Lower Visibility / Negative Tone
Georges Benjamin,1.0,-8145.492063492064,667.4074074074074,-10.693121693121693,4273717.259259259,189,Lower Visibility / Negative Tone
Ron Desantis,1.0,-7954.31550802139,672.9786096256685,-8.764705882352942,1852138.5080213903,187,Lower Visibility / Negative Tone
Bill,1.0,-6418.311827956989,581.758064516129,-8.89247311827957,1482092.1935483871,186,Lower Visibility / Negative Tone
Robert Junior,1.0,-3612.256830601093,674.8469945355191,-5.73224043715847,3329219.0765027325,183,Lower Visibility / Negative Tone
Donald Trump,0.0,-4527.2793296089385,868.4189944134079,-4.145251396648045,4363764.223463687,179,High Visibility / Negative Tone
Joe,1.0,-6093.234636871508,722.3296089385475,-7.910614525139665,548785.3966480447,179,Lower Visibility / Negative Tone
George Bush,1.0,-4666.411428571429,725.8285714285714,-4.84,1201849.56,175,Lower Visibility / Negative Tone
Paul Offit,1.0,-7021.553571428572,658.8154761904761,-7.875,432992.0238095238,168,Lower Visibility / Negative Tone
Lawrence Gostin,1.0,-3580.963190184049,679.8834355828221,-4.429447852760736,3699493.5153374234,163,Lower Visibility / Negative Tone
Chris,1.0,-6360.327160493827,669.0308641975308,-6.814814814814815,795273.5432098765,162,Lower Visibility / Negative Tone
Jennifer Nuzzo,1.0,-7489.024844720497,655.7639751552795,-9.559006211180124,4083614.403726708,161,Lower Visibility / Negative Tone
Mike,1.0,-5947.173076923077,595.2628205128206,-7.326923076923077,3982289.358974359,156,Lower Visibility / Negative Tone
Matt,1.0,-5626.090909090909,653.6233766233767,-6.409090909090909,2541602.896103896,154,Lower Visibility / Negative Tone
Lee Zeldin,1.0,-5101.1241830065355,628.3267973856209,-7.509803921568627,1429047.366013072,153,Lower Visibility / Negative Tone
Andrew Nixon,1.0,-5543.509803921569,698.7712418300654,-5.098039215686274,3788997.9215686275,153,Lower Visibility / Negative Tone
Johnson,1.0,-5132.593333333333,635.24,-7.773333333333333,3306923.7866666666,150,Lower Visibility / Negative Tone
Obama,1.0,-6929.439189189189,729.3851351351351,-6.405405405405405,1892515.1824324324,148,Lower Visibility / Negative Tone
Mitch Mcconnell,1.0,-5212.48951048951,702.06993006993,-4.8671328671328675,1634635.6573426574,143,Lower Visibility / Negative Tone
Peter,1.0,-8013.391608391608,663.993006993007,-6.8671328671328675,3759023.034965035,143,Lower Visibility / Negative Tone
Barack Obama,1.0,-4654.2464788732395,691.5281690140845,-5.774647887323944,1946905.7676056337,142,Lower Visibility / Negative Tone
Katherine Wells,1.0,-8176.042253521126,770.7183098591549,-6.359154929577465,538908.7253521127,142,Lower Visibility / Negative Tone
Jay Bhattacharya,1.0,-5969.463768115942,629.9202898550725,-8.123188405797102,1749649.6811594204,138,Lower Visibility / Negative Tone
Sarah,1.0,-8872.299270072992,664.92700729927,-10.686131386861314,1450788.00729927,137,Lower Visibility / Negative Tone
Marco Rubio,1.0,-5396.814814814815,659.9851851851852,-5.17037037037037,165219.17777777778,135,Lower Visibility / Negative Tone
Tom Llamas,1.0,-4756.285714285715,723.7293233082706,-5.684210526315789,2266041.947368421,133,Lower Visibility / Negative Tone
Mark,1.0,-7320.248120300752,695.7218045112782,-8.075187969924812,4300727.62406015,133,Lower Visibility / Negative Tone
Michael Osterholm,1.0,-6848.770992366412,648.8167938931298,-9.061068702290076,2647388.4045801526,131,Lower Visibility / Negative Tone
James,1.0,-7399.175572519084,622.7862595419847,-8.473282442748092,1304307.4122137404,131,Lower Visibility / Negative Tone
L.,1.0,-7286.806201550387,783.7364341085271,-10.255813953488373,851759.3178294573,129,Lower Visibility / Negative Tone
Oliver Guirdham,1.0,-3896.2734375,758.5390625,-5.921875,1362362.1796875,128,Lower Visibility / Negative Tone
Lee,1.0,-7638.669291338582,739.0472440944882,-8.362204724409448,1394184.2283464568,127,Lower Visibility / Negative Tone
Robert Califf,1.0,-7334.928571428572,625.7380952380952,-8.11111111111111,160348.68253968254,126,Lower Visibility / Negative Tone
Kim,1.0,-5990.264,665.232,-8.352,1412379.376,125,Lower Visibility / Negative Tone
Steve,1.0,-6033.241935483871,744.3629032258065,-6.137096774193548,533175.5645161291,124,Lower Visibility / Negative Tone
Max,1.0,-7255.303278688524,673.0409836065573,-10.672131147540984,5979375.049180328,122,Lower Visibility / Negative Tone
Robert Kennedy,0.0,-5168.275,930.35,-3.8833333333333333,4175253.6,120,High Visibility / Negative Tone
Pete Hegseth,1.0,-3560.4621848739494,679.546218487395,-5.873949579831932,1654276.5210084033,119,Lower Visibility / Negative Tone
Mandy Cohen,1.0,-4066.228813559322,603.8050847457627,-5.245762711864407,291000.4830508475,118,Lower Visibility / Negative Tone
George,1.0,-8058.593220338983,714.8050847457627,-7.305084745762712,2378772.745762712,118,Lower Visibility / Negative Tone
Mike Johnson,1.0,-5725.48717948718,665.8803418803419,-6.572649572649572,3971834.0854700855,117,Lower Visibility / Negative Tone
Jimmy Carter,1.0,-5462.377192982456,736.0350877192982,-8.543859649122806,387636.8771929825,114,Lower Visibility / Negative Tone
Taylor,1.0,-6203.796460176991,744.0619469026549,-9.221238938053098,1527843.5663716814,113,Lower Visibility / Negative Tone
Gene Hackman,1.0,-5999.276785714285,655.2321428571429,-9.883928571428571,5840221.017857143,112,Lower Visibility / Negative Tone
Austin,1.0,-7747.535714285715,648.0446428571429,-12.151785714285714,1937494.044642857,112,Lower Visibility / Negative Tone
Tom,1.0,-4552.801801801802,821.5315315315315,-4.963963963963964,219426.43243243243,111,Lower Visibility / Negative Tone
Donald,1.0,-8493.684684684684,690.3333333333334,-14.0,397150.0900900901,111,Lower Visibility / Negative Tone
Nirav Shah,1.0,-4663.887850467289,720.8224299065421,-8.280373831775702,4801678.747663551,107,Lower Visibility / Negative Tone
Brian,1.0,-5482.028037383177,781.4672897196261,-5.94392523364486,1630959.1401869159,107,Lower Visibility / Negative Tone
Jeff,1.0,-3895.1132075471696,648.2641509433962,-5.3584905660377355,467748.4528301887,106,Lower Visibility / Negative Tone
Richard Webby,1.0,-4187.714285714285,553.0190476190476,-9.59047619047619,185341.48571428572,105,Lower Visibility / Negative Tone
Paul,1.0,-7167.142857142857,708.1809523809524,-9.82857142857143,1444405.0476190476,105,Lower Visibility / Negative Tone
Dan,1.0,-4747.375,637.4519230769231,-3.1923076923076925,597114.2596153846,104,Lower Visibility / Negative Tone
Bush,1.0,-7353.778846153846,707.6923076923077,-11.153846153846153,588516.2211538461,104,Lower Visibility / Negative Tone
Marty Makary,1.0,-8403.423076923076,684.5,-8.5,2771473.5576923075,104,Lower Visibility / Negative Tone
Tony,1.0,-6795.233009708738,676.3300970873786,-8.504854368932039,1644947.3883495145,103,Lower Visibility / Negative Tone
Susan Monarez,1.0,-6982.718446601942,657.3495145631068,-8.019417475728156,8467966.68932039,103,Lower Visibility / Negative Tone
J.,1.0,-7520.196078431372,729.5,-9.323529411764707,2247216.7156862747,102,Lower Visibility / Negative Tone
Joseph Ladapo,1.0,-10987.323529411764,739.156862745098,-9.362745098039216,2160244.9803921566,102,Lower Visibility / Negative Tone
Betsy Arakawa,1.0,-3837.58,639.43,-8.57,6518724.13,100,Lower Visibility / Negative Tone
Madison,1.0,-9264.33,803.9,-5.08,1585741.86,100,Lower Visibility / Negative Tone
Tom Frieden,1.0,-6875.050505050505,647.5151515151515,-9.656565656565656,524695.8686868687,99,Lower Visibility / Negative Tone
Matt Gaetz,1.0,-7546.343434343435,661.6767676767677,-9.828282828282829,3688227.131313131,99,Lower Visibility / Negative Tone
John Kennedy,1.0,-3904.214285714286,616.1122448979592,-4.153061224489796,6877949.755102041,98,Lower Visibility / Negative Tone
G.,1.0,-11858.07142857143,871.2551020408164,-13.775510204081632,612334.1428571428,98,Lower Visibility / Negative Tone
Jennifer Rigby,1.0,-7135.5360824742265,763.6185567010309,-8.051546391752577,214018.60824742267,97,Lower Visibility / Negative Tone
Brown,1.0,-3044.8854166666665,631.84375,-4.5,1021158.59375,96,Lower Visibility / Negative Tone
Bill Gates,1.0,-7829.479166666667,720.2395833333334,-7.34375,752736.75,96,Lower Visibility / Negative Tone
Sam,1.0,-9227.822916666666,787.9895833333334,-7.03125,787295.8645833334,96,Lower Visibility / Negative Tone
Maria Kerkhove,1.0,-6012.382978723404,673.6595744680851,-8.202127659574469,4532799.308510638,94,Lower Visibility / Negative Tone
Dean,1.0,-6688.702127659574,691.2021276595744,-7.9787234042553195,1162759.329787234,94,Lower Visibility / Negative Tone
Dave Weldon,1.0,-2294.462365591398,784.9784946236559,-2.956989247311828,2729547.8172043012,93,Lower Visibility / Negative Tone
Peter Marks,1.0,-5096.290322580645,638.4408602150538,-6.494623655913978,550794.9139784946,93,Lower Visibility / Negative Tone
Peter Hotez,1.0,-6146.215053763441,811.8494623655914,-7.516129032258065,5184658.526881721,93,Lower Visibility / Negative Tone
Spencer Cox,1.0,-6593.8494623655915,672.8602150537635,-8.559139784946236,2306764.4623655914,93,Lower Visibility / Negative Tone
Xavier Becerra,1.0,-7314.430107526881,623.9569892473119,-8.053763440860216,4766929.096774193,93,Lower Visibility / Negative Tone
Jd Vance,1.0,-1217.9021739130435,727.7391304347826,-1.7826086956521738,902605.5652173914,92,Lower Visibility / Negative Tone
N.,1.0,-9670.728260869566,803.7826086956521,-11.195652173913043,592366.6847826086,92,Lower Visibility / Negative Tone
Paul Chaplin,1.0,-6773.666666666667,673.3,-9.677777777777777,398321.15555555554,90,Lower Visibility / Negative Tone
Davis,1.0,-8288.966292134832,675.9325842696629,-8.438202247191011,2309868.595505618,89,Lower Visibility / Negative Tone
Bill Clinton,1.0,-6052.522727272727,699.5454545454545,-6.2727272727272725,600888.6477272727,88,Lower Visibility / Negative Tone
Jack,1.0,-1749.2790697674418,626.1976744186046,-5.0813953488372094,982750.2558139535,86,Lower Visibility / Negative Tone
Edward Chen,1.0,-4728.494117647058,690.0941176470589,-6.141176470588236,9675911.776470589,85,Lower Visibility / Negative Tone
Salim Karim,1.0,-9380.464285714286,717.2619047619048,-10.583333333333334,1606190.630952381,84,Lower Visibility / Negative Tone
Bernie Sanders,1.0,-4427.192771084337,620.4698795180723,-3.4578313253012047,557153.421686747,83,Lower Visibility / Negative Tone
Bobby,1.0,-4839.048192771084,619.2409638554217,-6.903614457831325,1292584.3614457832,83,Lower Visibility / Negative Tone
Chuck Schumer,1.0,-8275.56626506024,649.843373493976,-7.542168674698795,386318.3253012048,83,Lower Visibility / Negative Tone
Y.,1.0,-6968.914634146341,867.670731707317,-8.695121951219512,723503.3170731707,82,Lower Visibility / Negative Tone
Eric,1.0,-2216.0625,609.8,-6.8125,3366240.525,80,Lower Visibility / Negative Tone
Clinton,1.0,-12360.05,751.3375,-12.2,2025596.375,80,Lower Visibility / Negative Tone
Kathy Hochul,1.0,-3681.0506329113923,538.0126582278481,-5.30379746835443,2390262.9873417723,79,Lower Visibility / Negative Tone
Jonathan,1.0,-4278.202531645569,741.9873417721519,-4.658227848101266,639444.9367088608,79,Lower Visibility / Negative Tone
Reagan,1.0,-9940.759493670887,660.4556962025316,-10.49367088607595,865357.835443038,79,Lower Visibility / Negative Tone
John Thune,1.0,-5616.076923076923,587.6666666666666,-6.576923076923077,1822654.6025641025,78,Lower Visibility / Negative Tone
Jim,1.0,-4076.6233766233768,718.8961038961039,-4.441558441558442,1192430.9090909092,77,Lower Visibility / Negative Tone
Ryan,1.0,-7319.8133333333335,740.9333333333333,-4.373333333333333,7653517.066666666,75,Lower Visibility / Negative Tone
Tim,1.0,-3903.7027027027025,752.8918918918919,-6.486486486486487,794790.2162162162,74,Lower Visibility / Negative Tone
Brian Mann,1.0,-1976.5068493150684,683.5068493150685,-1.8630136986301369,855765.0136986302,73,Lower Visibility / Negative Tone
Emma Farge,1.0,-1989.8082191780823,600.5205479452055,-7.616438356164384,133474.2191780822,73,Lower Visibility / Negative Tone
Michael Regan,1.0,-5684.904109589041,597.1643835616438,-7.794520547945205,2605573.5753424657,73,Lower Visibility / Negative Tone
