row_index,tag_name,persons,has_person
0,public_health,"Viewpoint, Cancer Https, Marketresearch.biz, Report, Novel-drug-delivery-systems-ndds-in-cancer-therapy-market, Humanized Mouse",1
1,public_health,"Elizabeth Warren, Juliann Ventura, Robert Kennedy, Donald Trump",1
2,public_health,"Initiated, Timor Leste, Vanuatu, Saia Piukala, Shiozaki Akihisa",1
3,public_health,Tushin Shah,1
4,public_health,"Senait Fisseha, Tedros Ghebreyesus, Eradicating Polio, Anya Sharma",1
5,public_health,"Antenna, Genie, Brian, Anne, Samir Va, Mark Ruffalo, Lisa De, Taylor Evans, Taylor",1
6,public_health,,0
7,public_health,"Mcallister, Susan Rivera, Freeman Boda, Sam, Catherine Richard, Bj Leiderman, Ami Martinez, Heidi Demarco, Sayon Pavin, Heidi Kpbs, Tory Peck",1
8,public_health,"Jim Pickett, Jim",1
9,public_health,Samantha Posted,1
10,public_health,"Anthony Ban, Anthony Banzi, Sergei Lavrov, Nick Miles, Donald Trump, Gary Donoghue, Vladimir Putin, Gary",1
11,public_health,,0
12,public_health,"Tanita, Invicta, Appendix Fig., Dibley Mj, Jin K, Mihrshahi S, Ding Trends, Int Lond, Ahmed S, Ziviani J, Khan Lifestyle, D'este Drivers, Delavari M, Swinburn B, Renzaho Acculturation, Socio-economic, Gibbs L, Magarey A, Hayes Aj, Kelly Pj, Frohlich Kl, Potvin Transcending, Siekmann Development, Hayes A., Obes Pract, Patrick Dl, Alexander Jj, Rajmil L, Mellor D, Boulton K, Swinburn Effectiveness, Laird, Hayes, Lambert Mg, Eades, Hartono S, Kinfu Y., P, Davison B, Juonala M, Singh Socioeconomic, O'brien Ks, Liu S, Gibson Definitions, Ideas Grant",1
13,public_health,"Tawfik, Ramadan, Wendy Potter",1
14,public_health,"Mark Steffen, Sherman Smith, Ashley Goss",1
15,public_health,Julius Bio,1
16,public_health,"Olivia Munn, Lin-Manuel Miranda, Eisa Davis, Jill Martin, Joe, Joe Erlinger",1
17,public_health,"Leslie Meltzer, Paul Orchard, Charlotte Chanson, Jungner Nbs, Robert Guthrie, Kyowa Kirin",1
18,public_health,"Bea Bruske, Barb Nederpel",1
19,health_campaign,"Sharafat Amarakhail, Noor Hussain, Ramazan, Mojtaba Sufi",1
20,public_health,"Ted Chaiban, Mike Ryan",1
21,public_health,"Lady Obama, Michelle Obama, Cherry Limeade, Strawberry Lemonade, Kitchen Cabinet, Shale Wong, Joanna Rosholm",1
22,world_health_leadership,"Lactaid Milk, Almond, Maid Zero",1
23,public_health,"Gina Anderson, Heather Logan, Keith Adamson",1
24,public_health,"Joellen Russell, Oreg, Eugene, Rio Yamat, Claire Rush",1
25,public_health,"Johnson Fistel, Cummins, Rob Bonta, Frank Johnson, James Baker",1
26,public_health,"Jean Kaseya, Dieudonne Kazadi, Samuel-Roger Kamba",1
27,public_health,"Sweat Economy, Sweat Wallet, Mark Elliott, Danae Arroyos-Calvera, Borja, Sebastien Chastin, Lennart Ante, The Store",1
28,public_health,"Line, Jon Hamilton, Rees, Louis, Robert Junior, Brittany, Alana Ayesha, Donald Trump, Chris Rock, Dave Chappelle, Ayesha Harris, Alana Wise",1
29,public_health,"David Fletcher, David Md., Wear",1
30,public_health,"Brunei Darussalam, Ong King, Lubna, Haji Razak, Zaidah Rizidah",1
31,public_health,"Wecount, Alison Norris",1
32,public_health,"Lumeris, Manolis Kellis, Tom Tom, Jean-Claude Saghbini, Tom Doerr",1
33,public_health,"Fleming, Roopa Marcello, Kalyanaraman Marcello, Sing, Camille Zamora, Monica Yunus, Hope, Patty Reitkopf, Haruhisa Handa, Global Patron, Henry Arnhold, Jacqueline Novogratz, Chris Anderson, Ann Ziff, Jennifer Register",1
34,public_health,"Russo, Syndrome, Paul Offit, Florian Krammer, Bethany Alcauter, William Schaffner",1
35,public_health,,0
36,public_health,,0
37,health_campaign,"Bernstein, Don Pasquale, Puccini, Moira Alderson, Kim Hoon, Yunsel, Michel Barnier, Macron, Chad, William Lee, Mike Johnson, Manchester United",1
38,public_health,,0
39,public_health,"Tate Reeves, Daniel Edney, Devna Bose",1
40,public_health,"Poxviridae, Joe Papa, Amesh Adalja, Jenner, Generalized Vaccinia, Boxed Warning, Richard Lindahl",1
41,public_health,"Onye Ononogbu, Lancet Hematology",1
42,public_health,"Maria Torres, Moreira, Akdis, Mohamed Shamji",1
43,public_health,"Jimmy Dore, Meryl Nass, Michael Nevradakis, Joe Biden, Tedros Ghebreyesus, Bill Gates, Tedros, Defender",1
44,public_health,Natasha Bagdasarian,1
45,public_health,"Susan Roberts, Skincare Patrol, Soara, Penny, Vigy, Vigo",1
46,public_health,"Aaron Davis, Robert Kennedy",1
47,health_campaign,"Chhatarpur, Singh Rana, Dalip, Mahakumbh, Gangajal, Mahashivratri, Mela, Yogi Adityanath, Sanatan, Mother Ganga",1
48,public_health,"Bill, Dylan Roberts, Julie Mccluskie, Byron Pelton, Jared Polis",1
49,public_health,"Mitch Adams, Listeria Recalls, Civic Science, Chicken Soup, Molly, Kitchen Chicken, Enchilada Soup, Nacho Soup, Kitchen Chili, Kitchen Mexican, Chicken Tortilla, Thai Soup, Mark Fischer",1
50,public_health,"Bug Forecast, Jim Fredericks, Kitchens Clean",1
51,public_health,"Gina Adami, Omaha Packing",1
52,public_health,"Hannah Frizzell, Kenneth Bagley, Kristyn Aalto, Orlance, Deborah Fuller",1
53,health_campaign,"Little Chanakya, Delhi Darshan, Comic, Delhi Tourism, Shri Mishra, Qutub Minar, Baansera Park, Chhattisgarh Tourism, Jal Mission, Namami Gange, Manish Verma, Mickey Mouse, Donald Duck",1
54,world_health_leadership,,0
55,public_health,"Aaron, Scott., Scott Bessent, Russell, Robert Kennedy, Dave, Janette, Marty",1
56,public_health,,0
57,public_health,"Mike Hogar, Phd, Garrett, Ivan, Safari, Maria Kirkokirkov, Maria Kirkov, Robert Cooke",1
58,public_health,"Emmanuela Gakidou, Jessica Kerr",1
59,public_health,"Michele Evans-Brock, Katherine Calderon, Mount Greenwood, Olusimbo Ige, Brandon Johnson, Leon, Janelle Goodwill, Kristen Schorsch",1
60,public_health,Candice,1
61,public_health,"Hegseth, Joe Biden, Chris Jackman, Kirsten Williams, Richard Raven",1
62,public_health,"Beckwith, Mike Braun, Pamela Whitten",1
63,health_campaign,"Taylor, Taylor Schaffer, Debbie David",1
64,world_health_leadership,,0
65,public_health,Serge Ngalebato,1
66,public_health,"Mercedes Ben, Facis, Namkai, Jessica Parker, Veralicia, Nicki Bady, Bobby Cannavale, Arbel Korzeniowski, Madonna, Sri Lankan, Sashi Perrera, Cherry Jones, Womad, Saigon Soul, Andas Gupta, Karen Krizanovich, Karen, William Grace, Martin Scorsese, Vinyl, Oscar",1
67,public_health,"David Featured, Woodbridge, David Banach, Lamont, David",1
68,public_health,"Donald Trump, Joe Biden, Hamilton Hall, Hamilton Hollande, Ron Desantis",1
69,public_health,"Saul Nhema, Crackdowns",1
70,public_health,"Meg Oliver, Ellie Erickson, Mounjaro",1
71,public_health,"Elizabeth Wolf, Patrick Carter, Laura Seewald, Marc Zimmerman, Editorial Articles, Frederick Rivara, Colin Orr, Anabeel Sen, Derek Chapman, Steven Woolf, Jama Audio, Carrie Musolf, Wolf Er, Chapman Da, Goldstick Je, Cunningham Rm, Bonnie Rj, Fulco Ce, Walton Ma, Mmwr Wkly, Ranney Ml, Roche Js, Roberts Bk, Nofi Cp, Harrison, Sathya Trends, Barrett Jt, Lee Lk, Monuteaux Mc, Hoffmann Ja, Jama Pediatr, Neufeld My, Allee L, Ormseth Ch, Mooney Ac, Mitchell, Skillen, J Pract",1
