person,count
Donald Trump,5803
Robert Kennedy,3817
Joe Biden,2108
Tedros Ghebreyesus,1245
Kamala Harris,560
Anthony Fauci,477
Elon Musk,390
John,352
Tedros,307
Vivek Murthy,294
Narendra Modi,289
Bill Cassidy,256
Gavin Newsom,247
Benjamin Netanyahu,240
Jean Kaseya,233
David,233
Georges Benjamin,220
Michael,216
Robert Junior,216
Ron Desantis,215
Bill,207
George Bush,207
Joe,203
Chris,192
Jennifer Nuzzo,188
Lawrence Gostin,185
Andrew Nixon,180
Mike,179
Lee Zeldin,179
Paul Offit,176
Mitch Mcconnell,173
Johnson,171
Matt,171
Obama,168
Peter,166
Katherine Wells,162
Marco Rubio,161
Jay Bhattacharya,160
Barack Obama,156
Sarah,155
Tom Llamas,153
Mark,152
L.,151
Robert Califf,149
James,145
Michael Osterholm,145
Lee,143
Oliver Guirdham,140
George,140
Steve,139
Max,138
Pete Hegseth,138
Kim,137
Taylor,134
Mandy Cohen,133
Paul,132
Nirav Shah,130
Donald,130
Mike Johnson,130
Jimmy Carter,127
Gene Hackman,126
Austin,125
Bush,124
Tom,122
Dan,121
Brian,120
Jeff,119
Marty Makary,119
J.,118
Brown,118
Tom Frieden,118
Tony,118
Richard Webby,116
G.,115
Joseph Ladapo,115
Betsy Arakawa,113
Madison,112
Susan Monarez,112
Dave Weldon,111
Matt Gaetz,111
John Kennedy,111
Peter Hotez,109
Spencer Cox,109
Jennifer Rigby,108
Bill Gates,108
Xavier Becerra,106
Maria Kerkhove,106
N.,105
Sam,105
Dean,105
Peter Marks,104
Bill Clinton,103
Jd Vance,102
Davis,101
Paul Chaplin,101
Salim Karim,97
Y.,97
Bernie Sanders,96
Jack,96
Edward Chen,95
Reagan,95
Chuck Schumer,94
Don,94
Bobby,92
Clinton,92
John Thune,90
Eric,90
Jonathan,89
Kathy Hochul,88
Jim,87
Michael Regan,86
Tim,85
Greg Abbott,84
Brian Mann,83
Ryan,83
Emma Farge,83
Steve Inskeep,82
Lori Freeman,82
Frank,81
Michael Ryan,80
Ronald Reagan,80
Susan Collins,80
Dave,80
Natasha Bagdasarian,80
Scott,79
Elizabeth,79
Amesh Adalja,79
Vladimir Putin,79
Andrew,79
Richard Lindahl,78
Lisa Murkowski,78
Mike Stobbe,78
